"","vote16","reltrad","age"
"178",NA,"Evangelical",61
"179",NA,"Evangelical",39
"180","Hillary Clinton","Evangelical",78
"181","Donald Trump","Evangelical",65
"182","Donald Trump","Evangelical",54
"183","Donald Trump","Evangelical",32
"184","Donald Trump","Evangelical",66
"185",NA,"Evangelical",32
"186","Donald Trump","Evangelical",46
"187","Hillary Clinton","Evangelical",61
"188",NA,"Evangelical",40
"189","Hillary Clinton","Evangelical",62
"190","Donald Trump","Evangelical",63
"191","Donald Trump","Evangelical",59
"192","Donald Trump","Evangelical",72
"193",NA,"Evangelical",30
"194",NA,"Evangelical",79
"195","Hillary Clinton","Evangelical",72
"196","Hillary Clinton","Evangelical",38
"197","Donald Trump","Evangelical",75
"198","Donald Trump","Evangelical",65
"199","Other","Evangelical",59
"200",NA,"Evangelical",50
"201","Donald Trump","Evangelical",76
"202","Hillary Clinton","Evangelical",68
"203",NA,"Evangelical",56
"204","Donald Trump","Evangelical",48
"205","Donald Trump","Evangelical",58
"206","Gary Johnson","Evangelical",37
"207",NA,"Evangelical",40
"208","Hillary Clinton","Evangelical",43
"209","Donald Trump","Evangelical",35
"210","Donald Trump","Evangelical",26
"211",NA,"Evangelical",33
"212","Donald Trump","Evangelical",34
"213","Hillary Clinton","Evangelical",63
"214","Hillary Clinton","Evangelical",39
"215",NA,"Evangelical",38
"216",NA,"Evangelical",18
"217",NA,"Evangelical",24
"218","Donald Trump","Evangelical",35
"219","Donald Trump","Evangelical",52
"220",NA,"Evangelical",57
"221","Hillary Clinton","Evangelical",59
"222","Donald Trump","Evangelical",54
"223","Donald Trump","Evangelical",82
"224","Other","Evangelical",67
"225","Donald Trump","Evangelical",58
"226","Donald Trump","Evangelical",59
"227","Hillary Clinton","Evangelical",67
"228","Hillary Clinton","Evangelical",53
"229","Hillary Clinton","Evangelical",52
"230","Donald Trump","Evangelical",69
"231","Donald Trump","Evangelical",71
"232","Hillary Clinton","Evangelical",70
"233","Donald Trump","Evangelical",55
"234","Hillary Clinton","Evangelical",75
"235","Donald Trump","Evangelical",46
"236","Donald Trump","Evangelical",55
"237","Hillary Clinton","Evangelical",80
"238","Donald Trump","Evangelical",65
"239","Donald Trump","Evangelical",64
"240","Donald Trump","Evangelical",74
"241","Hillary Clinton","Evangelical",58
"242","Hillary Clinton","Evangelical",74
"243","Other","Evangelical",58
"244","Hillary Clinton","Evangelical",70
"245","Donald Trump","Evangelical",63
"246","Hillary Clinton","Evangelical",51
"247","Donald Trump","Evangelical",66
"248","Donald Trump","Evangelical",88
"249","Donald Trump","Evangelical",56
"250","Donald Trump","Evangelical",59
"251",NA,"Evangelical",68
"252","Donald Trump","Evangelical",55
"253","Gary Johnson","Evangelical",47
"254","Hillary Clinton","Evangelical",68
"255","Hillary Clinton","Evangelical",76
"256","Donald Trump","Evangelical",84
"257","Hillary Clinton","Evangelical",66
"258","Donald Trump","Evangelical",67
"259","Donald Trump","Evangelical",67
"260","Hillary Clinton","Evangelical",64
"261","Donald Trump","Evangelical",82
"262","Donald Trump","Evangelical",79
"263","Donald Trump","Evangelical",57
"264","Donald Trump","Evangelical",61
"265","Donald Trump","Evangelical",67
"266","Donald Trump","Evangelical",51
"267","Hillary Clinton","Evangelical",38
"268","Donald Trump","Evangelical",74
"269","Donald Trump","Evangelical",69
"270","Donald Trump","Evangelical",70
"271","Other","Evangelical",52
"272",NA,"Evangelical",60
"273","Donald Trump","Evangelical",62
"274","Donald Trump","Evangelical",56
"275",NA,"Evangelical",62
"276","Hillary Clinton","Evangelical",71
"277",NA,"Evangelical",56
"278","Donald Trump","Evangelical",66
"279","Donald Trump","Evangelical",66
"280","Hillary Clinton","Evangelical",59
"281","Donald Trump","Evangelical",61
"282","Hillary Clinton","Evangelical",56
"283",NA,"Evangelical",46
"284","Hillary Clinton","Evangelical",51
"285","Donald Trump","Evangelical",48
"286","Donald Trump","Evangelical",53
"287","Donald Trump","Evangelical",72
"288","Donald Trump","Evangelical",71
"289","Hillary Clinton","Evangelical",69
"290","Donald Trump","Evangelical",56
"291","Hillary Clinton","Evangelical",79
"292","Hillary Clinton","Evangelical",48
"293","Donald Trump","Evangelical",49
"294","Donald Trump","Evangelical",58
"295",NA,"Evangelical",50
"296","Donald Trump","Evangelical",47
"297","Gary Johnson","Evangelical",26
"298","Donald Trump","Evangelical",56
"299","Jill Stein","Evangelical",62
"300","Donald Trump","Evangelical",74
"301","Other","Evangelical",60
"302","Hillary Clinton","Evangelical",59
"303","Hillary Clinton","Evangelical",64
"304","Hillary Clinton","Evangelical",35
"305","Donald Trump","Evangelical",60
"306","Donald Trump","Evangelical",81
"307","Hillary Clinton","Evangelical",60
"308","Donald Trump","Evangelical",62
"309","Donald Trump","Evangelical",45
"310","Donald Trump","Evangelical",57
"311","Donald Trump","Evangelical",63
"312","Hillary Clinton","Evangelical",65
"313","Donald Trump","Evangelical",56
"314","Donald Trump","Evangelical",51
"315","Hillary Clinton","Evangelical",58
"316","Donald Trump","Evangelical",57
"317","Donald Trump","Evangelical",59
"318","Hillary Clinton","Evangelical",55
"319","Donald Trump","Evangelical",54
"320",NA,"Evangelical",56
"321","Donald Trump","Evangelical",86
"322","Donald Trump","Evangelical",60
"323","Donald Trump","Evangelical",68
"324","Donald Trump","Evangelical",55
"325","Hillary Clinton","Evangelical",56
"326","Donald Trump","Evangelical",45
"327","Gary Johnson","Evangelical",24
"328","Donald Trump","Evangelical",66
"329","Donald Trump","Evangelical",52
"330",NA,"Evangelical",47
"331","Donald Trump","Evangelical",88
"332","Donald Trump","Evangelical",57
"333","Donald Trump","Evangelical",72
"334","Donald Trump","Evangelical",89
"335","Donald Trump","Evangelical",38
"336","Donald Trump","Evangelical",65
"337","Donald Trump","Evangelical",48
"338","Donald Trump","Evangelical",73
"339","Donald Trump","Evangelical",75
"340","Hillary Clinton","Evangelical",63
"341","Donald Trump","Evangelical",69
"342","Hillary Clinton","Evangelical",60
"343","Hillary Clinton","Evangelical",54
"344","Donald Trump","Evangelical",38
"345","Donald Trump","Evangelical",60
"346","Gary Johnson","Evangelical",59
"347","Donald Trump","Evangelical",56
"348",NA,"Evangelical",43
"349","Donald Trump","Evangelical",59
"350","Donald Trump","Evangelical",76
"351","Donald Trump","Evangelical",76
"352","Donald Trump","Evangelical",52
"353","Donald Trump","Evangelical",79
"354","Donald Trump","Evangelical",73
"355","Hillary Clinton","Evangelical",61
"356","Donald Trump","Evangelical",74
"357","Hillary Clinton","Evangelical",60
"358","Hillary Clinton","Evangelical",60
"359","Hillary Clinton","Evangelical",68
"360","Donald Trump","Evangelical",72
"361","Donald Trump","Evangelical",78
"362","Donald Trump","Evangelical",68
"363","Donald Trump","Evangelical",79
"364","Jill Stein","Evangelical",50
"365","Gary Johnson","Evangelical",49
"366","Donald Trump","Evangelical",62
"367","Donald Trump","Evangelical",73
"368","Donald Trump","Evangelical",93
"369","Hillary Clinton","Evangelical",57
"370","Donald Trump","Evangelical",71
"371","Donald Trump","Evangelical",64
"372","Donald Trump","Evangelical",59
"373","Donald Trump","Evangelical",69
"374","Hillary Clinton","Evangelical",65
"375","Donald Trump","Evangelical",84
"376","Donald Trump","Evangelical",55
"377","Donald Trump","Evangelical",62
"378","Other","Evangelical",48
"379","Donald Trump","Evangelical",85
"380","Hillary Clinton","Evangelical",37
"381","Other","Evangelical",71
"382","Gary Johnson","Evangelical",24
"383",NA,"Evangelical",37
"384","Donald Trump","Evangelical",81
"385","Donald Trump","Evangelical",65
"386","Donald Trump","Evangelical",58
"387","Donald Trump","Evangelical",31
"388","Donald Trump","Evangelical",77
"389","Hillary Clinton","Evangelical",55
"390","Donald Trump","Evangelical",60
"391","Donald Trump","Evangelical",58
"392","Hillary Clinton","Evangelical",54
"393","Donald Trump","Evangelical",63
"394","Donald Trump","Evangelical",52
"395","Donald Trump","Evangelical",57
"396","Donald Trump","Evangelical",60
"397",NA,"Evangelical",46
"398",NA,"Evangelical",22
"399",NA,"Evangelical",32
"400","Gary Johnson","Evangelical",19
"401",NA,"Evangelical",62
"402","Donald Trump","Evangelical",73
"403","Donald Trump","Evangelical",53
"404","Donald Trump","Evangelical",61
"405","Donald Trump","Evangelical",61
"406","Donald Trump","Evangelical",52
"407","Donald Trump","Evangelical",24
"408","Other","Evangelical",49
"409","Hillary Clinton","Evangelical",33
"410","Hillary Clinton","Evangelical",40
"411","Donald Trump","Evangelical",57
"412","Donald Trump","Evangelical",40
"413","Hillary Clinton","Evangelical",46
"414",NA,"Evangelical",26
"415",NA,"Evangelical",34
"416","Donald Trump","Evangelical",29
"417","Hillary Clinton","Evangelical",37
"418","Hillary Clinton","Evangelical",46
"419","Hillary Clinton","Evangelical",57
"420","Donald Trump","Evangelical",81
"421",NA,"Evangelical",45
"422","Donald Trump","Evangelical",51
"423",NA,"Evangelical",62
"424","Hillary Clinton","Evangelical",47
"425","Donald Trump","Evangelical",55
"426",NA,"Evangelical",18
"427","Hillary Clinton","Evangelical",58
"428","Hillary Clinton","Evangelical",56
"429","Donald Trump","Evangelical",47
"430","Donald Trump","Evangelical",54
"431","Donald Trump","Evangelical",61
"432","Hillary Clinton","Evangelical",64
"433","Hillary Clinton","Evangelical",75
"434","Donald Trump","Evangelical",78
"435","Donald Trump","Evangelical",78
"436","Donald Trump","Evangelical",73
"437",NA,"Evangelical",77
"438","Hillary Clinton","Evangelical",67
"439","Hillary Clinton","Evangelical",74
"440","Hillary Clinton","Evangelical",83
"441","Donald Trump","Evangelical",65
"442","Hillary Clinton","Evangelical",69
"443","Donald Trump","Evangelical",66
"444","Donald Trump","Evangelical",74
"445","Hillary Clinton","Evangelical",75
"446","Hillary Clinton","Evangelical",66
"447",NA,"Evangelical",51
"448","Donald Trump","Evangelical",55
"449","Jill Stein","Evangelical",62
"450","Donald Trump","Evangelical",61
"451","Hillary Clinton","Evangelical",27
"452","Donald Trump","Evangelical",40
"453",NA,"Evangelical",44
"454","Hillary Clinton","Evangelical",70
"455",NA,"Evangelical",63
"456",NA,"Evangelical",28
"457","Jill Stein","Evangelical",32
"458","Hillary Clinton","Evangelical",44
"459","Jill Stein","Evangelical",43
"460","Donald Trump","Evangelical",30
"461","Donald Trump","Evangelical",77
"462","Donald Trump","Evangelical",78
"463","Donald Trump","Evangelical",66
"464","Donald Trump","Evangelical",76
"465",NA,"Evangelical",52
"466","Other","Evangelical",54
"467","Donald Trump","Evangelical",52
"468","Donald Trump","Evangelical",63
"469","Hillary Clinton","Evangelical",52
"470","Donald Trump","Evangelical",50
"471","Donald Trump","Evangelical",62
"472","Hillary Clinton","Evangelical",59
"473","Hillary Clinton","Evangelical",61
"474","Donald Trump","Evangelical",60
"475","Donald Trump","Evangelical",52
"476","Donald Trump","Evangelical",46
"477","Donald Trump","Evangelical",46
"478","Donald Trump","Evangelical",53
"479",NA,"Evangelical",63
"480","Donald Trump","Evangelical",57
"481","Hillary Clinton","Evangelical",51
"482",NA,"Evangelical",36
"483","Donald Trump","Evangelical",66
"484","Hillary Clinton","Evangelical",75
"485","Donald Trump","Evangelical",69
"486","Donald Trump","Evangelical",80
"487","Hillary Clinton","Evangelical",54
"488","Donald Trump","Evangelical",50
"489","Other","Evangelical",61
"490","Donald Trump","Evangelical",50
"491","Hillary Clinton","Evangelical",46
"492","Hillary Clinton","Evangelical",49
"493","Donald Trump","Evangelical",46
"494","Donald Trump","Evangelical",64
"495","Hillary Clinton","Evangelical",57
"496","Hillary Clinton","Evangelical",45
"497",NA,"Evangelical",55
"498","Hillary Clinton","Evangelical",35
"499",NA,"Evangelical",73
"500","Hillary Clinton","Evangelical",64
"501","Hillary Clinton","Evangelical",41
"502","Donald Trump","Evangelical",37
"503","Donald Trump","Evangelical",36
"504","Donald Trump","Evangelical",31
"505","Gary Johnson","Evangelical",26
"506","Donald Trump","Evangelical",45
"507","Donald Trump","Evangelical",62
"508","Donald Trump","Evangelical",60
"509","Donald Trump","Evangelical",63
"510","Donald Trump","Evangelical",61
"511","Donald Trump","Evangelical",50
"512","Hillary Clinton","Evangelical",64
"513","Donald Trump","Evangelical",59
"514",NA,"Evangelical",57
"515","Donald Trump","Evangelical",51
"516","Donald Trump","Evangelical",56
"517","Donald Trump","Evangelical",63
"518","Donald Trump","Evangelical",58
"519","Donald Trump","Evangelical",61
"520","Other","Evangelical",62
"521","Hillary Clinton","Evangelical",61
"522","Donald Trump","Evangelical",57
"523","Hillary Clinton","Evangelical",75
"524","Donald Trump","Evangelical",67
"525","Donald Trump","Evangelical",73
"526",NA,"Evangelical",67
"527","Donald Trump","Evangelical",66
"528","Hillary Clinton","Evangelical",54
"529","Hillary Clinton","Evangelical",62
"530","Hillary Clinton","Evangelical",54
"531",NA,"Evangelical",57
"532","Donald Trump","Evangelical",63
"533","Hillary Clinton","Evangelical",58
"534","Hillary Clinton","Evangelical",70
"535",NA,"Evangelical",74
"536","Donald Trump","Evangelical",77
"537","Donald Trump","Evangelical",70
"538","Donald Trump","Evangelical",67
"539","Donald Trump","Evangelical",54
"540","Donald Trump","Evangelical",63
"541","Donald Trump","Evangelical",56
"542","Donald Trump","Evangelical",61
"543","Donald Trump","Evangelical",57
"544","Donald Trump","Evangelical",62
"545","Hillary Clinton","Evangelical",56
"546","Donald Trump","Evangelical",56
"547","Hillary Clinton","Evangelical",25
"548","Donald Trump","Evangelical",48
"549","Donald Trump","Evangelical",58
"550","Donald Trump","Evangelical",63
"551","Donald Trump","Evangelical",45
"552","Donald Trump","Evangelical",53
"553","Hillary Clinton","Evangelical",54
"554","Donald Trump","Evangelical",61
"555","Donald Trump","Evangelical",73
"556","Donald Trump","Evangelical",74
"557","Donald Trump","Evangelical",82
"558","Donald Trump","Evangelical",77
"559",NA,"Evangelical",66
"560","Donald Trump","Evangelical",68
"561","Donald Trump","Evangelical",65
"562","Hillary Clinton","Evangelical",74
"563","Donald Trump","Evangelical",72
"564",NA,"Evangelical",43
"565",NA,"Evangelical",30
"566","Donald Trump","Evangelical",60
"567","Donald Trump","Evangelical",55
"568","Hillary Clinton","Evangelical",49
"569","Donald Trump","Evangelical",61
"570","Donald Trump","Evangelical",61
"571","Gary Johnson","Evangelical",58
"572","Donald Trump","Evangelical",59
"573","Donald Trump","Evangelical",58
"574","Hillary Clinton","Evangelical",52
"575",NA,"Evangelical",23
"576",NA,"Evangelical",66
"577","Donald Trump","Evangelical",63
"578","Donald Trump","Evangelical",32
"579","Not Sure","Evangelical",54
"580","Donald Trump","Evangelical",29
"581","Donald Trump","Evangelical",68
"582","Gary Johnson","Evangelical",50
"583","Not Sure","Evangelical",67
"584","Donald Trump","Evangelical",44
"585","Donald Trump","Evangelical",80
"586","Hillary Clinton","Evangelical",45
"587","Donald Trump","Evangelical",70
"588","Hillary Clinton","Evangelical",45
"589","Donald Trump","Evangelical",50
"590","Donald Trump","Evangelical",55
"591","Donald Trump","Evangelical",53
"592",NA,"Evangelical",64
"593","Donald Trump","Evangelical",47
"594","Donald Trump","Evangelical",52
"595","Donald Trump","Evangelical",65
"596","Donald Trump","Evangelical",79
"597","Hillary Clinton","Evangelical",71
"598","Donald Trump","Evangelical",64
"599","Donald Trump","Evangelical",60
"600","Hillary Clinton","Evangelical",72
"601","Donald Trump","Evangelical",55
"602","Donald Trump","Evangelical",50
"603","Jill Stein","Evangelical",39
"604","Hillary Clinton","Evangelical",77
"605","Hillary Clinton","Evangelical",40
"606","Donald Trump","Evangelical",32
"607","Hillary Clinton","Evangelical",41
"608","Donald Trump","Evangelical",33
"609",NA,"Evangelical",48
"610","Hillary Clinton","Evangelical",62
"611","Donald Trump","Evangelical",52
"612","Donald Trump","Evangelical",55
"613","Hillary Clinton","Evangelical",55
"614","Donald Trump","Evangelical",51
"615","Donald Trump","Evangelical",58
