"","religpew","pew_bornagain","pid7","race","inputstate","ideo5"
"20131",1,1,1,2,39,2
"20132",6,2,4,1,29,3
"20133",1,1,6,1,48,5
"20134",1,1,7,1,41,4
"20135",11,2,1,1,41,1
"20136",1,1,6,1,8,5
"20137",2,1,5,1,19,4
"20138",1,1,7,1,37,4
"20139",11,2,4,1,5,1
"20140",2,2,7,1,22,5
"20141",2,2,4,1,39,4
"20142",1,1,6,1,26,3
"20143",9,2,1,1,42,2
"20144",1,1,5,1,42,4
"20145",2,2,7,1,33,4
"20146",11,2,7,1,42,4
"20147",7,2,2,1,8,1
"20148",10,2,4,1,41,2
"20149",2,2,2,4,6,1
"20150",4,2,4,2,12,3
"20151",1,1,1,1,18,3
"20152",1,2,2,1,24,3
"20153",1,2,1,1,53,2
"20154",1,1,2,1,42,3
"20155",2,2,1,1,6,2
"20156",1,2,6,1,39,3
"20157",11,2,4,3,13,6
"20158",2,2,7,1,12,4
"20159",3,1,4,6,29,4
"20160",1,1,1,2,26,3
"20161",12,2,6,1,4,3
"20162",11,2,1,1,21,1
"20163",9,2,1,1,39,1
"20164",1,1,4,3,25,3
"20165",10,2,2,1,36,4
"20166",11,2,4,1,42,2
"20167",5,2,1,1,25,2
"20168",9,2,3,1,47,2
"20169",11,2,1,1,39,2
"20170",1,1,1,2,29,6
"20171",11,2,4,1,6,3
"20172",10,2,1,1,27,2
"20173",11,2,4,1,51,1
"20174",2,2,2,1,6,2
"20175",12,2,3,1,25,1
"20176",2,2,1,1,47,3
"20177",1,1,4,1,48,3
"20178",2,1,7,1,32,5
"20179",3,2,7,1,53,5
"20180",2,2,1,1,25,3
"20181",11,2,1,2,24,3
"20182",1,1,3,1,51,1
"20183",1,1,1,2,18,3
"20184",1,1,5,1,27,4
"20185",11,2,4,1,19,3
"20186",10,2,4,1,17,1
"20187",11,2,2,3,6,3
"20188",1,1,1,1,55,3
"20189",1,1,7,1,37,5
"20190",1,2,6,1,6,3
"20191",12,2,2,1,17,4
"20192",10,2,1,1,39,1
"20193",1,1,7,1,12,3
"20194",1,1,6,1,12,4
"20195",5,1,6,1,6,4
"20196",1,1,4,1,40,3
"20197",1,1,5,1,30,5
"20198",11,2,1,1,53,2
"20199",11,2,7,1,17,5
"20200",3,2,4,1,12,3
"20201",10,2,1,1,29,2
"20202",6,2,2,4,25,2
"20203",2,1,1,1,6,1
"20204",11,2,5,1,29,5
"20205",9,2,1,1,37,1
"20206",1,2,7,1,29,4
"20207",1,2,4,1,51,3
"20208",12,1,7,1,4,5
"20209",2,2,3,1,42,3
"20210",4,2,4,1,26,3
"20211",1,1,7,1,18,4
"20212",9,2,6,7,25,4
"20213",2,2,7,7,36,5
"20214",1,2,4,7,51,5
"20215",1,1,6,1,41,5
"20216",3,2,4,1,32,5
"20217",1,2,6,1,8,4
"20218",1,2,3,4,6,3
"20219",2,2,1,2,17,3
"20220",11,1,1,2,5,3
"20221",10,2,5,1,6,3
"20222",1,2,6,1,6,4
"20223",1,1,6,1,42,3
"20224",1,2,1,1,42,2
"20225",11,2,1,1,6,2
"20226",9,2,4,1,42,2
"20227",2,2,1,1,24,2
"20228",9,2,2,1,45,2
"20229",11,1,4,1,39,3
"20230",1,2,7,1,12,5
"20231",10,2,4,1,29,3
"20232",11,2,5,1,37,3
"20233",1,1,7,1,17,4
"20234",7,2,2,4,51,2
"20235",1,1,4,1,53,3
"20236",11,2,3,1,29,1
"20237",1,2,1,1,36,2
"20238",10,2,2,1,17,1
"20239",10,2,1,6,42,2
"20240",11,2,1,4,42,2
"20241",1,1,6,1,16,3
"20242",9,2,5,1,6,3
"20243",9,2,1,1,12,2
"20244",2,2,1,1,51,2
"20245",9,2,1,1,51,1
"20246",2,2,5,1,36,3
"20247",10,2,3,1,36,1
"20248",2,2,1,1,48,1
"20249",1,1,6,1,17,3
"20250",1,1,5,1,37,3
"20251",2,2,4,6,48,3
"20252",12,2,1,2,42,1
"20253",1,2,5,1,55,5
"20254",9,2,1,1,4,2
"20255",3,2,4,1,39,3
"20256",11,2,2,1,42,3
"20257",5,1,1,2,24,2
"20258",1,1,7,1,26,5
"20259",1,1,4,1,29,3
"20260",2,2,4,1,39,4
"20261",1,1,7,1,21,4
"20262",1,2,6,1,27,4
"20263",1,1,5,1,51,4
"20264",11,2,3,1,12,3
"20265",11,1,7,1,32,4
"20266",1,1,4,2,12,3
"20267",2,2,2,1,26,3
"20268",11,1,1,1,54,1
"20269",1,1,2,1,48,2
"20270",1,1,1,2,12,3
"20271",1,2,2,2,22,3
"20272",1,1,6,6,6,3
"20273",1,1,4,1,27,4
"20274",2,2,2,1,39,3
"20275",1,1,2,2,39,3
"20276",2,2,1,1,6,3
"20277",9,2,3,1,6,1
"20278",1,1,6,1,53,5
"20279",10,2,7,1,32,4
"20280",2,2,7,1,42,4
"20281",11,2,1,7,55,3
"20282",2,2,2,3,48,3
"20283",2,2,1,3,25,3
"20284",1,2,6,1,53,4
"20285",11,2,7,1,22,4
"20286",11,2,4,5,53,2
"20287",1,1,8,1,53,4
"20288",9,2,4,1,12,2
"20289",2,2,2,6,42,2
"20290",1,1,1,2,1,1
"20291",7,2,6,4,6,3
"20292",2,1,5,1,55,5
"20293",11,1,4,1,53,6
"20294",1,2,4,1,13,3
"20295",9,2,1,4,26,2
"20296",1,2,1,1,13,2
"20297",1,1,7,1,42,5
"20298",9,2,3,1,36,1
"20299",1,1,3,1,8,3
"20300",9,2,4,3,24,3
"20301",2,2,5,3,51,3
"20302",2,2,6,1,34,3
"20303",1,1,7,1,28,5
"20304",2,2,1,1,25,2
"20305",2,2,1,1,55,2
"20306",11,1,4,1,31,3
"20307",2,2,3,1,26,3
"20308",2,2,1,2,40,4
"20309",2,2,2,2,6,3
"20310",2,1,7,3,35,4
"20311",2,2,2,3,36,3
"20312",1,1,1,1,36,3
"20313",11,2,3,1,26,6
"20314",1,2,7,1,45,4
"20315",1,2,7,1,30,5
"20316",1,1,7,1,13,5
"20317",2,2,1,1,26,1
"20318",2,2,7,1,19,5
"20319",1,1,5,1,55,3
"20320",10,2,4,1,17,2
"20321",1,2,5,1,29,4
"20322",1,1,6,1,27,5
"20323",12,2,4,1,6,3
"20324",2,2,5,1,26,4
"20325",11,2,2,1,34,2
"20326",1,2,1,2,1,2
"20327",11,2,8,1,39,6
"20328",11,1,4,2,1,3
"20329",2,2,5,1,26,4
"20330",10,2,1,1,48,2
"20331",1,1,1,2,45,4
"20332",1,1,7,1,6,5
"20333",12,1,7,1,42,6
"20334",9,2,3,1,51,3
"20335",12,2,4,1,48,5
"20336",2,2,3,1,55,3
"20337",1,1,5,1,25,6
"20338",2,2,6,1,6,4
"20339",2,2,4,1,55,6
"20340",2,2,1,1,26,3
"20341",1,1,5,1,26,5
"20342",12,2,5,1,29,4
"20343",11,2,8,3,48,3
"20344",1,1,1,2,31,2
"20345",11,2,7,2,45,4
"20346",2,2,2,1,53,3
"20347",11,2,5,1,53,6
"20348",2,2,5,1,53,4
"20349",2,2,5,1,55,4
"20350",1,1,1,2,12,3
"20351",1,1,7,1,47,5
"20352",1,1,7,1,29,5
"20353",10,2,1,3,39,3
"20354",11,2,3,1,51,1
"20355",1,2,4,1,8,3
"20356",1,2,7,1,53,4
"20357",12,2,8,1,48,2
"20358",11,1,4,1,39,3
"20359",11,2,5,1,30,3
"20360",12,2,5,1,8,3
"20361",5,2,4,1,25,4
"20362",11,2,5,1,47,3
"20363",11,1,8,1,42,6
"20364",7,1,1,1,42,1
"20365",1,2,3,1,45,3
"20366",6,2,3,1,8,3
"20367",1,2,3,2,22,3
"20368",2,1,6,1,44,3
"20369",9,2,2,1,24,3
"20370",11,2,6,1,26,4
"20371",1,1,1,1,39,2
"20372",1,1,1,1,26,4
"20373",1,1,6,1,12,3
"20374",9,2,8,1,12,1
"20375",11,2,1,1,29,1
"20376",10,2,5,1,18,3
"20377",11,2,6,1,26,3
"20378",1,2,1,2,28,2
"20379",2,2,2,3,13,4
"20380",1,1,3,1,17,2
"20381",1,2,1,2,21,3
"20382",1,1,4,3,48,3
"20383",2,2,8,3,13,3
"20384",1,2,5,1,2,4
"20385",11,2,1,1,17,2
"20386",12,2,3,1,49,3
"20387",1,2,6,6,18,3
"20388",2,1,1,1,26,2
"20389",1,1,7,1,28,4
"20390",2,2,4,1,42,3
"20391",2,1,4,1,13,3
"20392",2,2,4,3,34,3
"20393",11,2,1,1,53,2
"20394",1,2,1,1,36,2
"20395",10,2,3,2,26,3
"20396",1,1,1,4,24,1
"20397",11,2,1,1,54,2
"20398",11,2,1,1,40,2
"20399",1,1,1,2,26,6
"20400",10,2,7,1,12,4
"20401",1,1,7,1,39,5
"20402",1,1,5,7,55,4
"20403",1,1,2,1,42,3
"20404",2,2,7,1,24,4
"20405",1,1,6,1,12,3
"20406",1,2,5,1,22,5
"20407",1,1,3,1,51,3
"20408",10,2,1,1,48,2
"20409",12,2,3,1,29,1
"20410",11,2,3,1,36,3
"20411",1,1,4,3,48,3
"20412",1,1,1,1,40,1
"20413",1,1,3,1,22,4
"20414",1,2,6,1,42,3
"20415",1,1,1,1,12,1
"20416",2,2,8,1,17,4
"20417",1,2,1,3,8,1
"20418",1,2,4,1,51,3
"20419",11,1,1,4,53,3
"20420",2,2,2,5,9,4
"20421",10,2,3,1,4,2
"20422",1,1,7,1,13,5
"20423",2,2,4,2,5,3
"20424",5,2,1,1,12,1
"20425",10,2,1,1,36,2
"20426",2,2,6,1,4,4
"20427",1,2,1,1,26,3
"20428",2,2,6,1,39,4
"20429",9,2,1,1,39,2
"20430",2,2,6,1,39,2
"20431",1,2,8,1,29,4
"20432",11,2,4,1,12,3
"20433",12,1,4,1,39,3
"20434",2,2,4,1,26,3
"20435",2,2,4,2,23,4
"20436",1,1,1,2,51,2
"20437",6,1,1,2,13,4
"20438",1,1,7,1,37,6
"20439",1,1,4,2,54,5
"20440",11,2,7,1,39,4
"20441",2,2,2,2,6,3
"20442",11,2,4,1,37,6
"20443",1,2,7,1,6,5
"20444",1,2,2,1,45,2
"20445",1,1,7,6,6,5
"20446",1,1,5,1,12,4
"20447",5,2,5,8,6,5
"20448",12,2,1,1,6,1
"20449",11,2,1,3,32,2
"20450",1,2,7,1,42,4
"20451",1,1,6,1,19,4
"20452",2,2,3,1,34,4
"20453",2,2,6,1,39,3
"20454",1,2,1,1,53,2
"20455",3,2,6,1,53,3
"20456",2,2,6,1,20,4
"20457",1,1,7,3,40,4
"20458",1,1,7,7,12,5
"20459",1,2,8,4,36,2
"20460",11,2,6,1,17,3
"20461",5,2,1,1,6,1
"20462",1,1,5,1,32,6
"20463",2,2,4,1,4,6
"20464",1,1,6,1,51,5
"20465",1,1,2,1,26,3
"20466",1,2,6,1,26,4
"20467",2,2,7,1,17,4
"20468",3,2,7,1,32,5
"20469",1,2,3,1,40,2
"20470",5,2,3,1,1,1
"20471",1,1,7,1,34,3
"20472",1,1,7,1,37,4
"20473",1,1,6,1,21,4
"20474",10,2,4,1,49,3
"20475",1,2,7,1,1,4
"20476",2,2,4,1,46,3
"20477",9,2,1,1,6,2
"20478",9,2,6,1,26,3
"20479",1,2,1,2,42,1
"20480",1,2,1,2,6,2
"20481",1,1,5,6,4,5
"20482",10,2,1,1,17,1
"20483",2,2,6,1,22,4
"20484",1,2,1,2,51,6
"20485",9,2,1,1,19,1
"20486",1,2,4,1,12,3
"20487",1,2,1,1,6,2
"20488",1,2,7,1,20,5
"20489",1,1,7,1,45,4
"20490",11,2,3,1,36,2
"20491",2,2,1,1,46,2
"20492",10,2,4,1,32,3
"20493",5,2,4,1,51,3
"20494",1,1,7,1,29,5
"20495",11,2,2,1,36,1
"20496",1,2,2,1,39,3
"20497",1,1,1,1,19,2
"20498",2,2,4,1,26,4
"20499",2,2,8,3,24,6
"20500",1,1,3,2,45,3
"20501",11,1,1,1,13,3
"20502",2,2,7,1,22,5
"20503",1,2,2,1,42,3
"20504",5,2,1,1,36,3
"20505",1,1,6,1,6,3
"20506",2,2,6,1,55,4
"20507",1,2,1,1,49,2
"20508",1,1,7,1,13,5
"20509",2,2,6,1,51,3
"20510",1,1,7,1,17,3
"20511",12,2,4,1,39,3
"20512",9,2,3,6,29,1
"20513",1,2,1,3,6,2
"20514",1,2,1,2,13,4
"20515",11,2,2,1,26,3
"20516",1,1,6,1,51,3
"20517",11,2,2,2,42,2
"20518",2,2,5,3,26,3
"20519",1,2,4,1,17,4
"20520",1,1,1,4,24,1
"20521",1,2,4,1,37,6
"20522",11,2,4,1,48,4
"20523",1,2,1,1,39,1
"20524",2,2,2,4,6,4
"20525",11,2,4,4,6,2
"20526",10,2,3,1,39,2
"20527",1,1,2,1,13,3
"20528",11,2,3,1,12,3
"20529",1,2,3,1,18,2
"20530",11,2,6,1,48,3
"20531",1,1,4,1,48,1
"20532",9,2,4,1,22,2
"20533",10,2,7,1,41,5
"20534",1,2,1,1,39,3
"20535",1,2,6,1,55,3
"20536",10,2,3,1,1,2
"20537",10,2,3,1,28,1
"20538",2,2,2,3,48,6
"20539",11,2,1,1,8,6
"20540",4,2,6,1,12,4
"20541",2,1,5,2,39,3
"20542",2,1,1,1,36,5
"20543",5,2,5,1,6,5
"20544",1,1,3,2,48,3
"20545",1,2,6,6,17,3
"20546",11,2,3,2,12,3
"20547",9,2,3,3,33,1
"20548",2,2,1,2,12,2
"20549",10,2,2,1,48,2
"20550",11,2,1,2,36,2
"20551",2,1,1,3,36,2
"20552",2,2,2,1,25,3
"20553",1,2,3,1,18,2
"20554",1,1,6,1,39,4
"20555",11,2,4,1,48,2
"20556",1,1,7,1,47,5
"20557",9,2,1,1,34,3
"20558",1,2,1,1,36,2
"20559",4,2,6,1,42,3
"20560",9,2,4,1,6,1
"20561",1,1,6,1,25,4
"20562",2,2,4,1,34,2
"20563",1,1,8,1,54,1
"20564",2,2,8,3,51,3
"20565",11,2,6,7,12,4
"20566",12,2,4,1,42,1
"20567",1,2,2,1,6,3
"20568",11,2,1,1,55,1
"20569",9,2,4,1,33,3
"20570",1,2,4,6,20,3
"20571",11,2,3,1,6,2
"20572",2,2,4,1,42,3
"20573",10,2,4,1,13,6
"20574",7,2,3,1,6,2
"20575",10,2,4,1,8,3
"20576",9,2,4,3,35,1
"20577",1,2,6,1,42,3
"20578",1,1,1,4,34,2
"20579",12,2,3,1,36,2
"20580",1,2,7,1,6,4
"20581",2,2,4,1,53,1
"20582",2,2,1,6,53,2
"20583",1,1,5,2,6,4
"20584",12,1,7,1,36,6
"20585",2,2,4,3,44,3
"20586",1,1,7,1,48,2
"20587",11,2,6,1,47,3
"20588",12,1,2,1,10,3
"20589",11,2,3,1,12,1
"20590",2,2,5,1,39,4
"20591",9,2,1,1,29,1
"20592",12,1,5,1,17,4
"20593",11,2,1,1,29,6
"20594",1,1,7,1,51,4
"20595",11,1,4,1,37,3
"20596",1,1,1,1,31,2
"20597",5,2,1,1,34,2
"20598",1,2,7,1,5,4
"20599",11,2,2,2,28,3
"20600",2,1,2,4,17,2
"20601",1,1,5,3,16,4
"20602",11,2,1,1,26,1
"20603",1,1,4,1,41,3
"20604",1,1,1,1,51,6
"20605",9,2,3,1,55,1
"20606",1,2,6,1,47,4
"20607",10,2,1,1,17,2
"20608",2,1,5,1,17,3
"20609",11,2,4,1,48,4
"20610",11,2,2,1,12,4
"20611",1,1,4,1,29,3
"20612",11,1,4,6,10,4
"20613",9,2,1,1,33,1
"20614",1,1,6,1,13,5
"20615",2,2,6,1,6,2
"20616",1,2,1,1,42,2
"20617",2,2,4,7,34,4
"20618",10,2,7,1,6,4
"20619",1,2,1,1,51,2
"20620",3,2,1,1,6,4
"20621",1,1,7,1,6,3
"20622",1,1,3,1,47,3
"20623",2,2,5,1,34,3
"20624",2,2,7,1,36,4
"20625",1,2,1,1,36,4
"20626",7,2,1,1,33,1
"20627",11,1,8,1,42,6
"20628",11,2,2,1,51,2
"20629",2,2,2,3,17,2
"20630",2,2,1,1,4,2
"20631",1,2,5,1,13,4
"20632",6,1,1,3,41,2
"20633",11,2,4,2,24,6
"20634",1,1,1,2,6,4
"20635",12,1,1,2,42,3
"20636",1,1,1,2,12,3
"20637",2,2,3,3,48,3
"20638",2,1,1,2,48,2
"20639",2,2,7,1,39,5
"20640",1,1,6,1,27,5
"20641",1,1,4,1,13,3
"20642",11,1,4,1,5,6
"20643",11,2,4,1,12,3
"20644",9,2,1,1,31,1
"20645",1,2,5,1,46,4
"20646",1,1,5,3,48,4
"20647",1,1,7,1,54,5
"20648",12,1,2,1,26,3
"20649",2,2,5,1,9,3
"20650",1,2,7,1,23,4
"20651",2,2,5,1,27,3
"20652",11,2,4,6,28,3
"20653",11,2,3,1,44,2
"20654",1,1,7,1,36,5
"20655",11,2,1,1,25,1
"20656",9,2,4,1,24,3
"20657",2,2,4,3,4,3
"20658",11,2,2,3,48,2
"20659",1,2,6,1,36,3
"20660",9,2,1,1,37,2
"20661",8,2,1,4,51,1
"20662",1,1,4,3,48,5
"20663",2,2,1,1,36,1
"20664",1,2,1,2,24,3
"20665",1,2,4,1,54,3
"20666",2,2,4,1,55,6
"20667",1,2,5,1,42,3
"20668",1,2,6,1,9,4
"20669",1,2,2,1,36,3
"20670",2,2,6,1,55,5
"20671",1,2,3,1,55,3
"20672",11,2,7,1,4,3
"20673",5,2,6,1,19,4
"20674",11,2,3,1,53,4
"20675",2,2,5,1,17,4
"20676",9,2,2,1,9,1
"20677",1,2,4,1,27,3
"20678",9,2,1,1,34,2
"20679",12,1,1,1,42,1
"20680",1,2,3,1,12,3
"20681",5,2,3,1,17,3
"20682",11,2,6,1,39,4
"20683",1,2,4,1,42,4
"20684",1,1,5,1,39,3
"20685",1,1,4,1,12,6
"20686",9,2,2,1,21,1
"20687",1,1,1,2,48,2
"20688",1,2,1,1,40,3
"20689",11,2,2,1,6,3
"20690",2,2,6,1,5,4
"20691",9,2,1,1,41,2
"20692",5,2,6,1,1,4
"20693",11,2,4,6,9,3
"20694",2,2,6,1,55,4
"20695",2,2,2,1,6,3
"20696",1,2,4,1,8,3
"20697",2,2,2,3,6,3
"20698",11,2,2,3,36,6
"20699",9,2,3,1,8,1
"20700",1,2,3,1,48,2
"20701",9,2,1,1,55,1
"20702",12,2,4,1,42,1
"20703",2,2,6,1,4,4
"20704",2,2,2,1,42,3
"20705",1,2,2,1,34,3
"20706",1,2,6,1,36,4
"20707",11,2,7,1,20,4
"20708",11,2,6,1,24,4
"20709",2,2,2,3,36,2
"20710",1,1,2,1,51,2
"20711",2,2,1,1,36,3
"20712",1,1,1,2,25,3
"20713",1,2,5,1,42,3
"20714",2,2,7,1,13,4
"20715",6,2,3,1,8,6
"20716",1,1,7,1,6,4
"20717",2,2,4,1,25,3
"20718",11,2,3,1,6,2
"20719",2,2,7,1,27,4
"20720",11,8,4,7,36,3
"20721",9,2,1,1,6,2
"20722",1,1,4,1,41,4
"20723",11,2,3,1,33,3
"20724",11,2,2,3,8,2
"20725",11,2,2,4,15,3
"20726",2,1,4,4,17,3
"20727",1,2,3,1,45,3
"20728",1,2,5,1,36,3
"20729",11,2,4,6,34,3
"20730",10,2,6,1,36,4
"20731",10,2,2,1,39,3
"20732",11,2,1,1,6,1
"20733",1,2,7,1,38,4
"20734",2,2,7,1,36,4
"20735",1,2,3,1,15,2
"20736",11,2,5,1,6,4
"20737",11,2,4,5,12,6
"20738",1,2,4,2,17,6
"20739",9,2,3,1,55,2
"20740",1,1,5,6,18,3
"20741",9,2,1,1,23,1
"20742",1,1,7,1,4,4
"20743",10,2,4,1,20,3
"20744",1,1,5,1,39,4
"20745",1,2,1,1,47,3
"20746",11,2,1,1,39,1
"20747",1,1,1,1,42,6
"20748",2,2,1,1,51,2
"20749",2,2,1,3,6,4
"20750",1,2,4,1,51,3
"20751",10,2,1,1,55,1
"20752",1,1,1,2,51,2
"20753",2,2,1,3,6,2
"20754",10,2,4,1,19,4
"20755",2,2,1,2,37,3
"20756",2,1,2,1,6,3
"20757",2,2,7,1,55,4
"20758",12,1,4,1,55,6
"20759",2,1,5,1,6,4
"20760",1,1,7,1,42,5
"20761",2,2,8,1,36,2
"20762",1,1,5,1,29,4
"20763",5,2,7,1,51,5
"20764",1,1,7,1,24,4
"20765",11,2,4,1,47,6
"20766",11,2,1,1,55,5
"20767",2,2,8,5,36,3
"20768",11,2,1,2,53,2
"20769",2,2,6,1,39,3
"20770",11,2,5,1,48,4
"20771",9,2,1,1,40,1
"20772",11,2,6,3,6,4
"20773",1,2,2,1,6,3
"20774",2,2,1,1,4,2
"20775",2,2,8,1,44,3
"20776",2,2,1,1,6,6
"20777",5,2,1,1,42,3
"20778",11,2,1,1,42,2
"20779",1,2,7,1,17,4
"20780",11,2,1,1,48,3
"20781",1,1,4,2,12,3
"20782",10,2,4,1,29,2
"20783",1,1,5,7,27,4
"20784",1,2,2,1,28,6
"20785",1,1,6,1,4,3
"20786",9,2,3,1,8,1
"20787",1,2,7,1,6,4
"20788",1,1,5,1,18,4
"20789",1,2,2,1,8,3
"20790",2,2,1,1,34,2
"20791",2,2,8,1,26,3
"20792",1,2,5,1,26,3
"20793",1,2,6,1,37,4
"20794",1,2,2,1,40,3
"20795",12,2,1,1,17,1
"20796",11,2,2,1,32,3
"20797",2,2,1,3,1,6
"20798",1,2,5,1,12,3
"20799",1,1,7,3,4,5
"20800",11,2,2,1,13,2
"20801",6,2,1,1,48,2
"20802",5,2,1,1,12,3
"20803",1,1,5,1,27,5
"20804",12,2,4,1,6,3
"20805",2,2,5,1,34,4
"20806",1,1,2,2,11,3
"20807",1,1,4,1,39,4
"20808",2,2,3,1,26,3
"20809",9,2,1,1,44,2
"20810",2,1,2,1,25,4
"20811",11,1,3,1,8,3
"20812",2,2,7,1,6,4
"20813",11,2,3,2,24,2
"20814",1,2,1,5,12,2
"20815",11,2,2,2,48,3
"20816",1,2,7,4,20,5
"20817",1,1,7,1,21,5
"20818",11,2,4,1,4,1
"20819",11,2,1,3,6,2
"20820",1,1,3,1,6,3
"20821",11,2,7,1,12,4
"20822",1,2,4,1,26,3
"20823",2,2,1,3,6,3
"20824",5,2,5,1,6,3
"20825",11,2,1,1,17,1
"20826",11,2,4,1,39,3
"20827",2,2,1,1,6,1
"20828",11,2,1,1,49,2
"20829",10,2,3,1,9,3
"20830",1,1,1,1,54,2
"20831",4,2,7,1,6,4
"20832",1,1,4,1,6,5
"20833",9,2,1,2,6,1
"20834",2,2,4,4,53,3
"20835",11,2,5,1,9,4
"20836",9,2,4,1,49,3
"20837",5,2,1,1,29,2
"20838",1,2,7,1,12,2
"20839",11,2,3,1,53,1
"20840",5,2,5,1,53,4
"20841",11,2,4,1,1,6
"20842",12,2,6,1,13,3
"20843",11,2,2,1,41,2
"20844",2,2,4,1,36,3
"20845",3,1,7,1,50,4
"20846",12,2,6,1,37,4
"20847",1,1,4,1,39,3
"20848",1,1,6,1,26,4
"20849",11,2,4,1,29,5
"20850",1,1,4,1,19,5
"20851",1,2,6,6,12,3
"20852",1,2,4,1,37,4
"20853",1,2,2,1,6,2
"20854",1,1,2,1,53,3
"20855",2,2,3,1,9,3
"20856",9,2,1,1,25,1
"20857",11,2,1,1,31,2
"20858",9,2,3,1,12,2
"20859",1,1,7,1,48,5
"20860",9,2,3,1,18,1
"20861",1,2,2,1,26,3
"20862",7,1,5,1,48,5
"20863",2,1,7,1,42,4
"20864",10,2,5,1,4,3
"20865",2,2,3,1,39,1
"20866",2,2,7,1,27,4
"20867",1,1,6,1,20,4
"20868",2,1,5,1,26,4
"20869",1,2,7,1,16,4
"20870",12,2,7,1,1,5
"20871",9,2,1,1,25,1
"20872",11,2,3,6,12,3
"20873",4,2,2,3,12,4
"20874",1,1,4,1,26,3
"20875",2,2,1,1,17,2
"20876",1,1,5,1,48,5
"20877",3,2,7,1,6,5
"20878",7,1,1,4,42,1
"20879",1,2,1,1,51,6
"20880",10,2,1,1,25,1
"20881",1,2,3,1,37,3
"20882",5,2,1,1,6,1
"20883",2,1,7,3,6,5
"20884",2,2,7,1,48,4
"20885",1,2,1,6,6,2
"20886",10,2,1,1,41,2
"20887",5,2,1,1,34,2
"20888",11,1,6,3,6,4
"20889",11,2,6,3,6,4
"20890",11,2,6,1,6,4
"20891",1,1,4,1,32,6
"20892",6,1,2,5,40,4
"20893",1,1,7,7,26,4
"20894",1,2,1,1,42,3
"20895",1,2,4,1,8,3
"20896",12,2,4,2,22,4
"20897",1,1,6,6,6,4
"20898",10,2,1,1,12,1
"20899",7,2,2,4,32,3
"20900",2,2,6,1,42,4
"20901",1,1,2,1,21,2
"20902",10,2,5,1,20,3
"20903",12,1,4,1,42,4
"20904",9,2,3,1,49,2
"20905",9,2,3,1,48,2
"20906",9,2,4,1,36,3
"20907",11,2,1,1,49,1
"20908",1,1,1,2,42,4
"20909",1,1,1,2,37,2
"20910",5,2,1,6,51,1
"20911",2,2,6,1,4,4
"20912",1,1,7,1,5,4
"20913",9,2,1,1,34,1
"20914",1,1,6,1,41,4
"20915",11,2,4,1,12,3
"20916",2,2,6,1,12,4
"20917",2,1,3,2,6,3
"20918",11,1,7,1,26,6
"20919",1,1,3,2,45,1
"20920",11,2,2,1,18,3
"20921",10,2,2,1,41,3
"20922",1,1,1,2,39,1
"20923",1,2,1,1,18,3
"20924",2,2,6,1,6,3
"20925",11,2,1,1,26,1
"20926",1,1,1,2,48,1
"20927",2,1,1,1,42,4
"20928",1,1,3,1,41,3
"20929",10,2,3,5,16,3
"20930",11,2,2,1,42,3
"20931",1,1,5,1,4,5
"20932",1,1,3,1,18,2
"20933",2,1,4,1,8,5
"20934",1,2,4,1,53,3
"20935",1,1,2,1,17,3
"20936",4,2,1,1,6,1
"20937",2,2,7,1,42,4
"20938",10,2,4,6,12,1
"20939",11,2,4,5,4,3
"20940",1,1,6,1,40,5
"20941",3,2,1,1,4,2
"20942",1,1,6,1,51,4
"20943",9,2,1,1,36,2
"20944",10,2,1,1,1,1
"20945",1,1,4,1,6,4
"20946",1,1,3,2,34,3
"20947",11,2,1,1,6,2
"20948",9,2,3,1,18,2
"20949",11,2,1,1,6,3
"20950",1,2,3,1,27,3
"20951",1,2,1,1,18,2
"20952",10,2,1,1,49,2
"20953",12,2,1,2,12,3
"20954",2,2,1,1,34,2
"20955",5,2,1,1,48,1
"20956",1,2,1,6,47,3
"20957",11,2,4,6,8,1
"20958",11,2,6,1,33,4
"20959",11,2,4,2,25,6
"20960",11,1,3,2,17,6
"20961",12,1,1,1,36,2
"20962",1,1,4,1,1,4
"20963",1,2,7,1,51,4
"20964",2,2,7,1,36,4
"20965",1,2,5,1,13,3
"20966",1,2,2,1,15,3
"20967",2,2,7,1,42,4
"20968",12,2,4,1,47,4
"20969",1,1,2,1,18,3
"20970",12,1,1,1,21,3
"20971",1,1,1,3,6,3
"20972",11,2,1,3,29,2
"20973",11,2,2,2,37,3
"20974",1,2,1,2,40,4
"20975",12,1,1,2,51,4
"20976",1,2,1,1,47,2
"20977",1,1,4,1,37,2
"20978",11,1,4,2,4,3
"20979",1,2,4,1,25,3
"20980",1,1,7,1,48,5
"20981",9,2,2,1,42,3
"20982",11,2,1,1,13,2
"20983",1,2,2,1,6,2
"20984",1,2,1,2,10,2
"20985",9,2,1,1,6,2
"20986",12,1,4,1,33,3
"20987",1,1,7,1,12,5
"20988",1,2,2,2,29,4
"20989",2,2,6,1,55,5
"20990",9,2,3,1,41,2
"20991",1,1,4,4,48,3
"20992",1,2,4,3,6,6
"20993",1,1,1,6,36,3
"20994",1,2,5,1,26,4
"20995",2,2,3,1,36,3
"20996",2,2,4,1,25,2
"20997",2,2,5,1,12,3
"20998",11,2,1,1,6,3
"20999",12,2,6,1,53,5
"21000",1,1,5,6,18,5
"21001",7,2,2,1,41,3
"21002",10,2,6,1,45,3
"21003",11,1,1,2,37,1
