"","evangelical","inputstate","pew_churatd"
"354",0,51,4
"355",1,37,5
"356",1,37,1
"357",0,4,4
"358",1,29,2
"359",1,37,2
"360",0,9,4
"361",0,6,6
"362",0,12,6
"363",1,26,6
"364",0,34,5
"365",0,29,6
"366",0,8,6
"367",1,47,5
"368",0,34,5
"369",0,37,6
"370",0,42,2
"371",0,1,4
"372",0,42,6
"373",1,45,2
"374",0,37,4
"375",0,39,5
"376",0,19,3
"377",0,51,6
"378",0,18,4
"379",0,16,6
"380",0,13,5
"381",0,36,5
"382",0,46,2
"383",1,1,2
"384",0,26,5
"385",0,55,5
"386",0,29,4
"387",0,42,2
"388",1,37,2
"389",0,12,6
"390",0,27,4
"391",0,1,6
"392",0,19,4
"393",0,6,5
"394",0,55,6
"395",0,5,3
"396",1,6,2
"397",1,8,4
"398",0,6,6
"399",1,30,2
"400",0,13,2
"401",0,48,2
"402",1,39,5
"403",0,53,6
"404",0,6,5
"405",0,39,5
"406",0,37,5
"407",0,55,6
"408",0,49,3
"409",1,42,5
"410",0,4,6
"411",0,42,5
"412",0,17,6
"413",0,6,6
"414",0,42,5
"415",0,9,2
"416",0,36,6
"417",1,54,1
"418",0,6,2
"419",1,1,1
"420",0,39,2
"421",0,13,1
"422",1,32,2
"423",0,5,6
"424",0,55,6
"425",0,6,6
"426",0,38,4
"427",0,34,5
"428",1,26,5
"429",0,51,2
"430",1,8,6
"431",0,42,4
"432",0,32,6
"433",1,41,2
"434",0,8,5
"435",0,25,4
"436",0,48,3
"437",0,12,1
"438",0,48,1
"439",0,37,5
"440",0,8,6
"441",0,12,4
"442",0,20,1
"443",0,53,6
"444",0,39,4
"445",0,26,5
"446",0,17,5
"447",0,6,6
"448",0,51,2
"449",1,29,4
"450",1,45,2
"451",0,21,5
"452",0,12,4
"453",0,24,6
"454",0,4,6
"455",0,42,6
"456",1,21,2
"457",0,13,3
"458",0,47,5
"459",0,17,2
"460",0,12,5
"461",1,1,6
"462",1,22,1
"463",0,47,6
"464",0,48,5
"465",0,53,4
"466",0,29,6
"467",0,6,5
"468",0,18,2
"469",0,18,5
"470",1,12,4
"471",1,51,3
"472",1,55,5
"473",0,36,6
"474",0,42,3
"475",1,36,1
"476",0,41,4
"477",0,39,5
"478",0,32,6
"479",0,53,5
"480",0,45,2
"481",0,48,6
"482",0,13,2
"483",0,34,4
"484",1,45,3
"485",0,22,6
"486",0,34,6
"487",1,22,2
"488",0,1,4
"489",0,8,5
"490",0,39,3
